"","Palavra","Dimensao","Media","DP"
"482","MOTOR","Ativacao",3.96,2.35
"483","MUCO","Valencia",5.43,2.35
"484","MUCO","Ativacao",3.35,1.98
"485","MULETA","Valencia",2.81,1.94
"486","MULETA","Ativacao",4.75,2.77
"487","MULHER","Valencia",6.57,1.9
"488","MULHER","Ativacao",3.89,2.6
"489","MUNDO","Valencia",6.17,2.65
"490","MUNDO","Ativacao",5.01,2.92
"491","MUSCULAR","Valencia",6.99,2.55
"492","MUSCULAR","Ativacao",4.54,3.27
"493","MUSEU","Valencia",6.01,2.01
"494","MUSEU","Ativacao",3,2.13
"495","MÚSICA","Valencia",5.18,3.7
"496","MÚSICA","Ativacao",5.73,3.31
"497","MUTAÇÃO","Valencia",4.53,2.26
"498","MUTAÇÃO","Ativacao",4.4,2.75
"499","MUTILAR","Valencia",4.66,3.57
"500","MUTILAR","Ativacao",5.46,3.33
"501","NADADOR","Valencia",6.38,2.16
"502","NADADOR","Ativacao",3.49,2.82
"503","NAMORADA","Valencia",7.59,2.09
"504","NAMORADA","Ativacao",4.89,3.28
"505","NARCÓTICO","Valencia",2.77,2.02
"506","NARCÓTICO","Ativacao",4.94,2.94
"507","NASCIMENTO","Valencia",8.31,1.23
"508","NASCIMENTO","Ativacao",4.29,3.3
"509","NATAL","Valencia",8.06,1.98
"510","NATAL","Ativacao",3.69,3.11
"511","NATURAL","Valencia",4.97,3.36
"512","NATURAL","Ativacao",4.76,3.16
"513","NATUREZA","Valencia",8.58,1.09
"514","NATUREZA","Ativacao",3.25,3.03
"515","NÁUSEA","Valencia",3.95,2.72
"516","NÁUSEA","Ativacao",4.78,2.77
"517","NAVALHA","Valencia",2.64,1.81
"518","NAVALHA","Ativacao",5,3.24
"519","NAVIO","Valencia",6.55,2.16
"520","NAVIO","Ativacao",3.68,2.72
"521","NECROTÉRIO","Valencia",2.1,2.07
"522","NECROTÉRIO","Ativacao",5.75,3.15
"523","NÉCTAR","Valencia",4.66,3.08
"524","NÉCTAR","Ativacao",5.41,3.25
"525","NEGLIGÊNCIA","Valencia",2.4,1.8
"526","NEGLIGÊNCIA","Ativacao",5.78,2.85
"527","NERVOSO","Valencia",4.21,3.04
