"","Palavra","Dimensao","Media","DP"
"424","DESASTRE","Ativacao",5.97,2.93
"425","DESAVENÇA","Ativacao",5.44,2.83
"426","DESCONFORTO","Ativacao",5.6,2.86
"427","DESCULPA","Ativacao",4.37,2.83
"428","DESDENHOSO","Ativacao",4.86,2.52
"429","DESEJO","Ativacao",5.06,2.9
"430","DESERTOR","Ativacao",4.58,2.19
"431","DESESPERADOR","Ativacao",6.12,3.11
"432","DESINTERESSADO","Ativacao",5.16,2.65
"433","DESLEAL","Ativacao",5.9,3.17
"434","DESLIGADO","Ativacao",5.13,2.64
"435","DESPEJAR","Ativacao",3.92,2.81
"436","DESPERDÍCIO","Ativacao",4.99,2.5
"437","DESPREOCUPADO","Ativacao",3.35,2.45
"438","DESPREZAR","Ativacao",5.91,2.87
"439","DESPREZO","Ativacao",4.96,3.18
"440","DESTACADO","Ativacao",4.53,2.57
"441","DESTROÇAR","Ativacao",4.39,3
"442","DESTRUIÇÃO","Ativacao",5.88,2.81
"443","DESTRUIR","Ativacao",5.35,3.17
"444","DETALHE","Ativacao",4.4,2.67
"445","DETESTAR","Ativacao",4.39,3.08
"446","DEUS","Ativacao",3.8,3.15
"447","DEVOTADO","Ativacao",2.82,2.37
"448","DIABO","Ativacao",4.63,2.86
"449","DIAMANTE","Ativacao",4.1,2.88
"450","DIGNO","Ativacao",4.01,2.75
"451","DINHEIRO","Ativacao",5.39,3.03
"452","DIPLOMA","Ativacao",6.03,3.05
"453","DIVERSÃO","Ativacao",5.16,3.2
"454","DIVERTIDO","Ativacao",5.12,3.42
"455","DIVERTIMENTO","Ativacao",4.88,3.24
"456","DIVÓRCIO","Ativacao",5.29,2.96
"457","DOCE","Ativacao",4.46,3.2
"458","DOENÇA","Ativacao",5.81,3.2
"459","DOENTE","Ativacao",5.29,2.94
"460","DÓLAR","Ativacao",5.09,2.73
"461","DOMINADOR","Ativacao",4.71,2.8
"462","DOR","Ativacao",5.97,2.87
"463","DOUTOR","Ativacao",3.86,2.68
"464","DURO","Ativacao",4.6,2.64
"465","EDIFÍCIO","Ativacao",2.49,1.8
"466","EDUCAÇÃO","Ativacao",4.92,3.07
"467","EGOÍSTA","Ativacao",5.33,2.89
"468","ELEGANTE","Ativacao",4.62,2.68
"469","ELEVADOR","Ativacao",3.24,2.39
"470","EMPREGO","Ativacao",5.97,2.88
"471","ENCARDIDO","Ativacao",4.02,2.53
"472","ENCHARPE","Ativacao",3.64,2.34
